Date,Time (UTC),Lat,Lon,Depth (km),Mag,Int,Region,Comment
2019/09/29,16:23:11.9,54.656000000000006,-1.933,2,1.4,,"BUTTERKNOWLE,DURHAM",
2019/09/26,00:11:57.7,52.84,-2.62,7,1.9,,"HODNET,SHROPSHIRE",
2019/09/24,13:38:14.8,57.034,1.935,10,4.2,3.0,CENTRAL NORTH SEA,FELT ELGIN-FRANKLIN
2019/09/21,14:43:45.2,51.16,-0.237,2,0.6,,"NEWDIGATE,SURREY",
2019/09/12,23:48:32.4,53.336000000000006,-2.336,17,0.8,,"KNUTSFORD,CHESHIRE",3KM NNE KNUTSFORD
2019/09/11,15:12:37.5,55.727,-3.156,7,2.0,2.0,"EDDLESTON,BORDERS",FELT LYNE STATION
2019/09/06,07:09:45.5,51.161,-0.237,2,1.0,,"NEWDIGATE,SURREY",
2019/09/05,15:39:01.3,53.033,-4.105,14,1.5,3.0,"BEDDGELERT,GWYNEDD",FELT CARMEL...
2019/09/03,20:19:13.2,51.161,-0.237,2,0.2,,"NEWDIGATE,SURREY",
2019/09/02,05:13:04.9,51.16,-0.237,2,1.1,2.0,"NEWDIGATE,SURREY",FELT NEWDIGATE
2019/08/30,10:30:17.9,57.076,-5.704,7,1.6,,"KNOYDART,HIGHLAND",
2019/08/27,01:01:17.1,53.001000000000005,-2.395,6,1.4,,"BRIDGEMERE,CHESHIRE",
2019/08/24,22:31:57.4,53.347,-1.193,7,1.2,,"ANSTON,SOUTH YORKSHIRE",
2019/08/23,23:46:01.9,53.843,-1.018,2,1.7,,"RICCALL,NORTH YORKSHIRE",
2019/08/23,19:30:51.0,52.623000000000005,-4.2410000000000005,7,0.8,,CARDIGAN BAY,
2019/08/22,23:50:31.1,54.242,-3.228,9,0.3,,"MILLOM,CUMBRIA",4KM NE MILLOM
2019/08/20,05:00:20.7,52.62,-2.056,7,1.0,,"WILLENHALL,W MIDLANDS",
2019/08/17,18:49:59.0,54.963,1.629,17,1.7,,CENTRAL NORTH SEA,
2019/08/17,13:38:50.9,56.047,-5.244,9,0.7,,"LOCHGAIR,ARGYLL & BUTE",6KM ESE LOCHGAIR
2019/08/14,07:36:11.1,55.839,-5.8629999999999995,7,1.3,,SOUND OF JURA,
2019/08/14,02:52:36.5,54.233000000000004,-3.218,8,0.3,,"MILLOM,CUMBRIA",4KM NE MILLOM
2019/08/12,00:46:49.2,51.16,-0.24100000000000002,2,-1.4,,"NEWDIGATE,SURREY",
2019/08/12,00:46:46.6,51.16,-0.24100000000000002,2,-0.7,,"NEWDIGATE,SURREY",
