Date,Time (UTC),Lat,Lon,Depth (km),Mag,Int,Region,Comment
2019/09/28,18:28:22.8,53.785,-2.966,2,-1.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/14,19:50:16.5,53.786,-2.966,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/12,05:31:23.2,53.788000000000004,-2.9610000000000003,2,0.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/10,02:52:00.3,53.787,-2.968,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/08,16:12:31.3,53.784,-2.964,2,-1.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/02,05:33:07.3,53.785,-2.964,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/02,03:12:21.3,53.786,-2.966,2,0.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/02,03:12:37.3,53.786,-2.963,2,0.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/09/01,18:42:07.7,53.785,-2.965,2,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/29,07:00:05.6,53.784,-2.964,1,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/29,01:23:50.7,53.784,-2.965,1,-1.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/28,20:44:16.7,53.786,-2.965,1,-1.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/27,14:54:20.0,53.785,-2.967,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/27,11:47:53.2,53.787,-2.965,1,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/27,08:52:09.9,53.785,-2.964,2,0.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/27,07:07:50.0,53.787,-2.967,2,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/27,06:55:12.7,53.787,-2.9589999999999996,2,0.5,2.0,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/27,04:06:39.8,53.786,-2.965,2,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,21:18:29.2,53.787,-2.96,2,1.0,2.0,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,13:51:28.7,53.782,-2.966,2,-1.4,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,13:51:59.3,53.786,-2.965,2,-0.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,09:55:57.1,53.786,-2.964,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,09:28:21.1,53.787,-2.966,1,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,07:49:24.2,53.784,-2.967,2,-1.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,07:30:47.0,53.787,-2.964,2,2.9,6.0,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,03:39:22.8,53.785,-2.9610000000000003,2,-1.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/26,01:33:39.0,53.784,-2.968,2,-1.4,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/25,23:20:24.9,53.785,-2.966,2,-1.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/25,20:10:04.7,53.786,-2.968,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/24,22:01:35.1,53.787,-2.9619999999999997,2,2.1,4.0,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/24,08:24:26.2,53.786,-2.968,2,-1.1,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/24,05:17:52.3,53.784,-2.964,2,-1.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/24,04:01:07.7,53.787,-2.9610000000000003,2,0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/24,02:06:32.6,53.785,-2.964,1,-1.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/24,02:06:32.5,53.787,-2.965,1,-1.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,23:06:08.9,53.784,-2.9610000000000003,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,22:22:08.6,53.787,-2.964,2,1.1,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,21:25:18.0,53.785,-2.965,2,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,21:25:21.2,53.785,-2.966,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,21:17:44.3,53.786,-2.964,2,-1.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,19:39:15.1,53.787,-2.964,2,-0.7,,"BLACKPOOL,LAMCASHIRE",HYDROFRAC EVENT
2019/08/23,19:05:59.0,53.786,-2.965,2,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,17:48:56.3,53.785,-2.9619999999999997,2,-0.1,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,15:26:09.0,53.788000000000004,-2.97,2,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,13:22:07.6,53.787,-2.971,2,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,13:16:45.1,53.787,-2.971,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,06:51:17.2,53.788000000000004,-2.968,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,05:13:58.2,53.784,-2.966,2,-1.4,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,04:33:36.1,53.787,-2.9619999999999997,2,0.4,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,03:26:09.3,53.784,-2.964,2,-1.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,02:35:54.9,53.786,-2.964,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/23,01:22:20.7,53.786,-2.969,2,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/22,23:44:44.6,53.786,-2.963,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/22,20:34:07.5,53.783,-2.965,2,-1.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/22,15:23:33.9,53.787,-2.9610000000000003,2,1.0,2.0,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/22,15:10:42.7,53.785,-2.966,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/22,13:59:51.7,53.786,-2.968,2,-0.5,,BLACKPOOL.LANCASHIRE,HYDROFRAC EVENT
2019/08/22,06:46:30.2,53.787,-2.9589999999999996,2,0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/22,02:52:43.9,53.786,-2.965,2,0.1,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,23:15:12.4,53.79,-2.969,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,23:04:43.5,53.788999999999994,-2.97,2,-1.1,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,21:42:00.3,53.787,-2.9619999999999997,2,0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,20:21:35.9,53.788999999999994,-2.975,2,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,20:08:21.7,53.786,-2.964,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,19:55:45.4,53.787,-2.965,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,19:46:33.3,53.787,-2.9610000000000003,2,1.6,3.0,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,19:39:46.6,53.787,-2.968,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,17:03:45.5,53.788999999999994,-2.9610000000000003,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,16:03:15.9,53.788000000000004,-2.969,2,-0.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,16:00:36.3,53.788000000000004,-2.967,2,-0.4,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:57:12.5,53.787,-2.972,2,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:42:32.2,53.788000000000004,-2.969,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:38:46.6,53.787,-2.969,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:38:04.4,53.788000000000004,-2.969,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:25:10.1,53.79,-2.967,2,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:23:25.7,53.787,-2.969,2,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:16:58.9,53.788000000000004,-2.966,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:12:45.2,53.783,-2.965,1,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,15:05:22.4,53.787,-2.97,2,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,14:46:01.5,53.788999999999994,-2.9739999999999998,2,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,14:44:02.8,53.788000000000004,-2.966,2,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,10:12:10.0,53.787,-2.971,2,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,10:02:20.9,53.788000000000004,-2.964,2,-0.1,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,09:59:22.0,53.786,-2.967,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,09:57:32.8,53.788000000000004,-2.969,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/21,09:45:54.3,53.788000000000004,-2.971,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,23:46:33.9,53.788000000000004,-2.969,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,23:35:30.1,53.785,-2.972,2,-1.4,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,23:15:48.8,53.788999999999994,-2.9730000000000003,2,-1.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,22:35:59.1,53.788000000000004,-2.9739999999999998,2,-1.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,22:11:54.0,53.786,-2.97,2,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,20:07:58.9,53.788999999999994,-2.971,2,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,18:49:45.9,53.788999999999994,-2.972,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,17:02:51.6,53.786,-2.971,2,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,16:02:03.6,53.787,-2.972,2,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,15:24:47.7,53.788000000000004,-2.9730000000000003,2,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,10:48:40.9,53.788000000000004,-2.9730000000000003,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,10:16:42.2,53.787,-2.969,2,-0.3,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,10:04:12.3,53.787,-2.969,1,-0.9,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:43:27.7,53.787,-2.97,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:41:11.5,53.787,-2.971,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:38:24.7,53.787,-2.9730000000000003,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:37:48.7,53.787,-2.968,1,-1.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:33:37.8,53.785,-2.969,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:23:48.4,53.788000000000004,-2.968,2,-0.7,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:24:04.6,53.787,-2.972,2,-1.2,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:16:54.4,53.788000000000004,-2.9730000000000003,1,-0.8,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:14:12.9,53.786,-2.964,2,-0.1,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:13:56.5,53.787,-2.964,2,0.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/20,09:06:26.1,53.788999999999994,-2.972,2,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/19,10:20:41.7,53.788999999999994,-2.97,1,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/19,10:18:12.0,53.79,-2.971,2,-0.5,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/19,10:09:24.2,53.788999999999994,-2.971,1,-0.6,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
2019/08/19,10:06:14.2,53.788999999999994,-2.968,1,0.0,,"BLACKPOOL,LANCASHIRE",HYDROFRAC EVENT
